external_id,source,title,description,company_name,company_website,company_logo_url,location,country_code,workplace_type,employment_type,experience_level,salary_currency,salary_min,salary_max,salary_period,apply_url,contact_email,is_active,posted_at
ext-011,LinkedIn,Android Security Engineer,Harden our banking application against reverse engineering and runtime attacks. Strong knowledge of ProGuard/R8.,Paytm,https://paytm.com,https://logo.clearbit.com/paytm.com,Noida,IN,ON_SITE,FULL_TIME,MID_LEVEL,INR,1800000,2800000,YEARLY,https://paytm.com/careers,sec-jobs@paytm.com,TRUE,2026-08-24T17:00:00Z
ext-012,Naukri,Product Engineer (Android),Work at the intersection of product and engineering to build features that millions of users love.,Zomato,https://zomato.com,https://logo.clearbit.com/zomato.com,Mumbai,IN,HYBRID,FULL_TIME,MID_LEVEL,INR,2200000,3200000,YEARLY,https://zomato.com/careers,product-hiring@zomato.com,TRUE,2026-08-25T11:45:00Z
ext-013,LinkedIn,Senior Android Developer,Join our health-tech startup. Build features for wearable device integration and data visualization.,Cure.fit,https://cult.fit,https://logo.clearbit.com/cult.fit,Bangalore,IN,REMOTE,FULL_TIME,SENIOR_LEVEL,INR,2800000,4000000,YEARLY,https://cult.fit/careers,jobs@cult.fit,TRUE,2026-08-25T09:30:00Z
ext-014,Indeed,Android System Developer,Optimize the low-level framework and drivers for our custom Android-based hardware.,Square,https://squareup.com,https://logo.clearbit.com/squareup.com,Remote,US,REMOTE,FULL_TIME,SENIOR_LEVEL,USD,170000,230000,YEARLY,https://squareup.com/careers,hardware-jobs@squareup.com,TRUE,2026-08-24T14:00:00Z
ext-015,LinkedIn,Android Developer (Contract),3-month contract to build a prototype for a new AR-based shopping experience.,Snapchat,https://snap.com,https://logo.clearbit.com/snap.com,"Santa Monica, CA",US,HYBRID,CONTRACT,MID_LEVEL,USD,80,120,HOURLY,https://snap.com/jobs,contractors@snap.com,TRUE,2026-08-25T12:00:00Z
ext-016,Naukri,Junior Android Developer,Maintain our logistics and tracking dashboard. Knowledge of Google Maps API and Location Services.,Delhivery,https://delhivery.com,https://logo.clearbit.com/delhivery.com,Gurgaon,IN,ON_SITE,FULL_TIME,ENTRY_LEVEL,INR,800000,1400000,YEARLY,https://delhivery.com/jobs,hiring@delhivery.com,TRUE,2026-08-25T16:00:00Z
ext-017,LinkedIn,Lead Android Developer,Drive the architecture of our ride-sharing app. Deep focus on offline-first capabilities and maps.,Ola,https://ola.com,https://logo.clearbit.com/ola.com,Bangalore,IN,ON_SITE,FULL_TIME,SENIOR_LEVEL,INR,4000000,5500000,YEARLY,https://ola.com/careers,hiring@olacabs.com,TRUE,2026-08-24T10:15:00Z
ext-018,Indeed,Android UI/UX Engineer,Focus on building pixel-perfect designs and reusable component libraries. Extensive Jetpack Compose experience.,Airbnb,https://airbnb.com,https://logo.clearbit.com/airbnb.com,Remote,US,REMOTE,FULL_TIME,MID_LEVEL,USD,160000,210000,YEARLY,https://airbnb.com/careers,ui-jobs@airbnb.com,TRUE,2026-08-25T08:45:00Z
ext-019,Naukri,Senior Android Developer,Build tools for local merchants to manage their inventory and sales on the go.,Khatabook,https://khatabook.com,https://logo.clearbit.com/khatabook.com,Bangalore,IN,HYBRID,FULL_TIME,SENIOR_LEVEL,INR,3500000,4800000,YEARLY,https://khatabook.com/careers,talent@khatabook.com,TRUE,2026-08-25T11:00:00Z
ext-020,LinkedIn,Android Software Engineer II,Design and develop complex features for our crypto exchange. Security and real-time data handling.,Coinbase,https://coinbase.com,https://logo.clearbit.com/coinbase.com,Remote,US,REMOTE,FULL_TIME,MID_LEVEL,USD,140000,185000,YEARLY,https://coinbase.com/careers,hiring@coinbase.com,TRUE,2026-08-25T13:30:00Z
ext-021,LinkedIn,"Frontend Developer","Join our core product team to build high-performance web interfaces using React and Next.js. You will be responsible for translating complex designs into functional, responsive components.","Google","https://google.com","https://logo.clearbit.com/google.com","Mountain View","US","ON_SITE","FULL_TIME","SENIOR_LEVEL","USD",180000,280000,"YEARLY","https://careers.google.com/jobs","hiring@google.com",true,"2026-08-20T10:30:00Z"
ext-022,Indeed,"Frontend Developer","We are looking for a creative Frontend Engineer to develop interactive dashboards and data visualization tools. Proficiency in TypeScript and Tailwind CSS is highly preferred.","Meta","https://meta.com","https://logo.clearbit.com/meta.com","Menlo Park","US","HYBRID","FULL_TIME","MID_LEVEL","USD",160000,240000,"YEARLY","https://www.metacareers.com","talent@meta.com",true,"2026-08-18T14:45:00Z"
ext-023,Naukri,"Frontend Developer","Seeking a skilled React developer to optimize our e-commerce platform for speed and scalability. You will work closely with UX designers to improve user engagement metrics.","Flipkart","https://flipkart.com","https://logo.clearbit.com/flipkart.com","Bangalore","IN","ON_SITE","FULL_TIME","MID_LEVEL","INR",2500000,4500000,"YEARLY","https://www.flipkartcareers.com","jobs@flipkart.com",true,"2026-08-22T09:15:00Z"
ext-024,Wellfound,"Frontend Developer","Build the future of decentralized finance by creating seamless web experiences for our global user base. Experience with Ethers.js and React is a major plus.","Coinbase","https://coinbase.com","https://logo.clearbit.com/coinbase.com","Remote","US","REMOTE","FULL_TIME","SENIOR_LEVEL","USD",150000,220000,"YEARLY","https://www.coinbase.com/careers","recruiting@coinbase.com",true,"2026-08-25T11:00:00Z"
ext-025,LinkedIn,"Frontend Developer","We need a Frontend Developer to lead the migration of our legacy systems to a modern React-based micro-frontend architecture. Strong architectural skills are required.","Amazon","https://amazon.com","https://logo.clearbit.com/amazon.com","Seattle","US","HYBRID","FULL_TIME","SENIOR_LEVEL","USD",170000,260000,"YEARLY","https://amazon.jobs","careers@amazon.com",true,"2026-08-15T08:20:00Z"
ext-026,Indeed,"Frontend Developer","Contribute to the development of our collaborative design tools using React and WebGL. You should have a passion for pixel-perfect implementation and performance.","Canva","https://canva.com","https://logo.clearbit.com/canva.com","London","US","HYBRID","FULL_TIME","ENTRY_LEVEL","USD",110000,150000,"YEARLY","https://www.canva.com/careers","apply@canva.com",true,"2026-08-24T16:50:00Z"
ext-027,Naukri,"Frontend Developer","Help us revolutionize digital payments in India by building lightning-fast web applications. Expertise in React and state management libraries like Redux is essential.","Razorpay","https://razorpay.com","https://logo.clearbit.com/razorpay.com","Bangalore","IN","ON_SITE","FULL_TIME","MID_LEVEL","INR",2000000,3800000,"YEARLY","https://razorpay.com/jobs","talent-acquisition@razorpay.com",true,"2026-08-19T13:10:00Z"
ext-028,Wellfound,"Frontend Developer","Join a fast-growing AI startup to build intuitive interfaces for complex machine learning models. You must be comfortable working in a fast-paced environment.","OpenAI","https://openai.com","https://logo.clearbit.com/openai.com","San Francisco","US","ON_SITE","FULL_TIME","SENIOR_LEVEL","USD",200000,350000,"YEARLY","https://openai.com/careers","join@openai.com",true,"2026-08-21T07:40:00Z"
ext-029,LinkedIn,"Frontend Developer","We are looking for an intern to assist in building our next-generation mobile-first web applications. Basic knowledge of HTML, CSS, and JavaScript is required.","Zomato","https://zomato.com","https://logo.clearbit.com/zomato.com","Gurgaon","IN","HYBRID","INTERNSHIP","ENTRY_LEVEL","INR",600000,900000,"YEARLY","https://www.zomato.com/careers","interns@zomato.com",true,"2026-08-23T12:00:00Z"
ext-030,Indeed,"Frontend Developer","Architect and develop reusable UI components for our global enterprise software suite. Experience with design systems and Storybook is highly valued.","Microsoft","https://microsoft.com","https://logo.clearbit.com/microsoft.com","Redmond","US","HYBRID","FULL_TIME","SENIOR_LEVEL","USD",190000,300000,"YEARLY","https://careers.microsoft.com","hr@microsoft.com",true,"2026-08-14T09:30:00Z"
ext-031,Naukri,"Frontend Developer","Develop highly responsive UI components for our fitness and lifestyle platform. Knowledge of React Native for web and performance optimization is a plus.","Cult.fit","https://cult.fit","https://logo.clearbit.com/cult.fit","Bangalore","IN","ON_SITE","FULL_TIME","MID_LEVEL","INR",1800000,3200000,"YEARLY","https://cult.fit/careers","people@cult.fit",true,"2026-08-20T15:20:00Z"
ext-032,Wellfound,"Frontend Developer","Build tools that help developers ship software faster. You will work on our core web application using React, TypeScript, and GraphQL.","Stripe","https://stripe.com","https://logo.clearbit.com/stripe.com","Remote","US","REMOTE","FULL_TIME","MID_LEVEL","USD",165000,245000,"YEARLY","https://stripe.com/jobs","dev-hiring@stripe.com",true,"2026-08-16T11:45:00Z"
ext-033,LinkedIn,"Frontend Developer","Create beautiful and accessible web experiences for millions of users worldwide. We value candidates who are passionate about web standards and accessibility.","Airbnb","https://airbnb.com","https://logo.clearbit.com/airbnb.com","San Francisco","US","REMOTE","FULL_TIME","SENIOR_LEVEL","USD",175000,275000,"YEARLY","https://www.airbnb.com/careers","work@airbnb.com",true,"2026-08-21T18:00:00Z"
ext-034,Indeed,"Frontend Developer","Join our logistics tech team to build real-time tracking dashboards and internal tools. Strong problem-solving skills and React expertise are a must.","Uber","https://uber.com","https://logo.clearbit.com/uber.com","Mumbai","IN","HYBRID","FULL_TIME","MID_LEVEL","INR",3000000,5500000,"YEARLY","https://www.uber.com/careers","eng-hiring@uber.com",true,"2026-08-17T10:10:00Z"
ext-035,Naukri,"Frontend Developer","Enhance our customer experience platform by building dynamic and interactive web features. You should have a deep understanding of browser internals.","Freshworks","https://freshworks.com","https://logo.clearbit.com/freshworks.com","Chennai","IN","ON_SITE","FULL_TIME","ENTRY_LEVEL","INR",1200000,2200000,"YEARLY","https://www.freshworks.com/careers","recruitment@freshworks.com",true,"2026-08-24T08:55:00Z"
ext-036,Wellfound,"Frontend Developer","Scale our fintech platform's frontend to handle millions of concurrent users. Experience with performance profiling and optimization is crucial.","Cred","https://cred.club","https://logo.clearbit.com/cred.club","Bangalore","IN","ON_SITE","FULL_TIME","SENIOR_LEVEL","INR",4000000,7500000,"YEARLY","https://cred.club/careers","hiring@cred.club",true,"2026-08-22T14:30:00Z"
ext-037,LinkedIn,"Frontend Developer","Deliver high-quality code and maintainable UI architectures for our streaming platform. You will work on high-traffic features seen by millions.","Netflix","https://netflix.com","https://logo.clearbit.com/netflix.com","Los Gatos","US","ON_SITE","FULL_TIME","SENIOR_LEVEL","USD",220000,400000,"YEARLY","https://jobs.netflix.com","talent@netflix.com",true,"2026-08-13T16:20:00Z"
ext-038,Indeed,"Frontend Developer","Help us build the next generation of creative cloud tools on the web. Strong knowledge of React, WebAssembly, and Canvas APIs is preferred.","Adobe","https://adobe.com","https://logo.clearbit.com/adobe.com","San Jose","US","HYBRID","FULL_TIME","MID_LEVEL","USD",155000,235000,"YEARLY","https://www.adobe.com/careers","jobs@adobe.com",true,"2026-08-25T09:05:00Z"
ext-039,Naukri,"Frontend Developer","Work on our core SaaS products using modern JavaScript frameworks. We are looking for self-starters who can own features from conception to deployment.","Zoho","https://zoho.com","https://logo.clearbit.com/zoho.com","Chennai","IN","ON_SITE","FULL_TIME","MID_LEVEL","INR",1500000,2800000,"YEARLY","https://www.zoho.com/careers","hr@zohocorp.com",true,"2026-08-19T11:40:00Z"
ext-040,Wellfound,"Frontend Developer","Develop and maintain our developer-facing API documentation and tooling. A background in building technical products is a significant advantage.","Postman","https://postman.com","https://logo.clearbit.com/postman.com","Remote","IN","REMOTE","FULL_TIME","SENIOR_LEVEL","INR",3500000,6000000,"YEARLY","https://www.postman.com/careers","careers@postman.com",true,"2026-08-20T17:15:00Z"
ext-041,LinkedIn,"Frontend Developer","Join the team building the most popular developer community platform. You will work on improving the user experience for millions of developers.","Stack Overflow","https://stackoverflow.com","https://logo.clearbit.com/stackoverflow.com","New York","US","REMOTE","FULL_TIME","MID_LEVEL","USD",140000,210000,"YEARLY","https://stackoverflow.co/careers","jobs@stackoverflow.com",true,"2026-08-23T13:45:00Z"
ext-042,Indeed,"Frontend Developer","Build the web presence for our next-generation electric vehicles. You should have an eye for design and expertise in React and 3D web graphics.","Tesla","https://tesla.com","https://logo.clearbit.com/tesla.com","Austin","US","ON_SITE","FULL_TIME","MID_LEVEL","USD",145000,225000,"YEARLY","https://www.tesla.com/careers","eng-recruiting@tesla.com",true,"2026-08-18T08:00:00Z"
ext-043,Naukri,"Frontend Developer","Drive the frontend development for our social commerce platform. We need someone who can build fast, light, and engaging mobile web experiences.","Meesho","https://meesho.com","https://logo.clearbit.com/meesho.com","Bangalore","IN","HYBRID","FULL_TIME","MID_LEVEL","INR",2200000,4000000,"YEARLY","https://meesho.io/jobs","careers@meesho.com",true,"2026-08-21T10:50:00Z"
ext-044,Wellfound,"Frontend Developer","Create seamless shopping experiences on the web using React and Shopify's Hydrogen framework. Passion for e-commerce and performance is key.","Shopify","https://shopify.com","https://logo.clearbit.com/shopify.com","Remote","US","REMOTE","FULL_TIME","SENIOR_LEVEL","USD",160000,250000,"YEARLY","https://www.shopify.com/careers","hiring@shopify.com",true,"2026-08-14T15:30:00Z"
ext-045,LinkedIn,"Frontend Developer","Develop internal tools and customer-facing interfaces for our global CRM platform. Expertise in React and enterprise-grade frontend patterns is required.","Salesforce","https://salesforce.com","https://logo.clearbit.com/salesforce.com","San Francisco","US","HYBRID","FULL_TIME","MID_LEVEL","USD",150000,230000,"YEARLY","https://www.salesforce.com/company/careers","talent@salesforce.com",true,"2026-08-24T12:20:00Z"
ext-046,Indeed,"Frontend Developer","Build the interface for our collaborative team workspace. You will work on complex real-time features using React and state synchronization technologies.","Atlassian","https://atlassian.com","https://logo.clearbit.com/atlassian.com","Sydney","US","REMOTE","FULL_TIME","SENIOR_LEVEL","USD",170000,270000,"YEARLY","https://www.atlassian.com/careers","recruiting@atlassian.com",true,"2026-08-19T09:10:00Z"
ext-047,Naukri,"Frontend Developer","Contribute to our stock trading and investment platform by building secure and real-time data interfaces. Knowledge of financial charts and D3.js is a plus.","Groww","https://groww.in","https://logo.clearbit.com/groww.in","Bangalore","IN","ON_SITE","FULL_TIME","MID_LEVEL","INR",2500000,4200000,"YEARLY","https://groww.in/careers","talent@groww.in",true,"2026-08-25T14:40:00Z"
ext-048,Wellfound,"Frontend Developer","Help us scale our cloud infrastructure monitoring dashboard. We are looking for an engineer who loves building complex, data-heavy UIs.","Datadog","https://datadoghq.com","https://logo.clearbit.com/datadoghq.com","New York","US","HYBRID","FULL_TIME","SENIOR_LEVEL","USD",180000,290000,"YEARLY","https://www.datadoghq.com/careers","jobs@datadoghq.com",true,"2026-08-20T11:00:00Z"
ext-049,LinkedIn,"Frontend Developer","Join the team building the world's most popular audio streaming service. You will work on the web player and creator tools using React.","Spotify","https://spotify.com","https://logo.clearbit.com/spotify.com","London","US","REMOTE","FULL_TIME","MID_LEVEL","USD",135000,205000,"YEARLY","https://www.lifeatspotify.com","apply@spotify.com",true,"2026-08-16T17:25:00Z"
ext-050,Indeed,"Frontend Developer","Build the web interface for our professional networking platform. Focus on accessibility, localization, and high-scale frontend architecture.","LinkedIn","https://linkedin.com","https://logo.clearbit.com/linkedin.com","Sunnyvale","US","HYBRID","FULL_TIME","SENIOR_LEVEL","USD",185000,295000,"YEARLY","https://www.linkedin.com/careers","jobs@linkedin.com",true,"2026-08-22T08:30:00Z"
ext-051,Naukri,"Frontend Developer","Help us digitize small businesses in India by building simple and effective web tools. We need someone who can deliver quality under tight deadlines.","Khatabook","https://khatabook.com","https://logo.clearbit.com/khatabook.com","Bangalore","IN","ON_SITE","FULL_TIME","ENTRY_LEVEL","INR",1000000,1800000,"YEARLY","https://khatabook.com/careers","hiring@khatabook.com",true,"2026-08-21T15:10:00Z"
ext-052,Wellfound,"Frontend Developer","Develop the web frontend for our collaborative whiteboard tool. Strong expertise in React, TypeScript, and handling complex UI states is required.","Miro","https://miro.com","https://logo.clearbit.com/miro.com","Remote","US","REMOTE","FULL_TIME","MID_LEVEL","USD",150000,220000,"YEARLY","https://miro.com/careers","talent@miro.com",true,"2026-08-24T10:00:00Z"
ext-053,LinkedIn,"Frontend Developer","Create engaging web experiences for our visual discovery engine. You will work on performance-critical features that serve millions of images daily.","Pinterest","https://pinterest.com","https://logo.clearbit.com/pinterest.com","San Francisco","US","HYBRID","FULL_TIME","MID_LEVEL","USD",155000,240000,"YEARLY","https://www.pinterestcareers.com","jobs@pinterest.com",true,"2026-08-15T12:45:00Z"
ext-054,Indeed,"Frontend Developer","Join our team building the future of messaging and collaboration. You will contribute to the Slack web client using modern frontend technologies.","Slack","https://slack.com","https://logo.clearbit.com/slack.com","San Francisco","US","REMOTE","FULL_TIME","SENIOR_LEVEL","USD",175000,280000,"YEARLY","https://slack.com/careers","hiring@slack.com",true,"2026-08-19T14:20:00Z"
ext-055,Naukri,"Frontend Developer","Build the next generation of food delivery and quick commerce interfaces. We value engineers who are obsessive about user experience and performance.","Swiggy","https://swiggy.com","https://logo.clearbit.com/swiggy.com","Bangalore","IN","ON_SITE","FULL_TIME","SENIOR_LEVEL","INR",3500000,6500000,"YEARLY","https://www.swiggy.com/careers","eng-talent@swiggy.com",true,"2026-08-23T09:30:00Z"
ext-056,Wellfound,"Frontend Developer","Develop the web interface for our crypto-native social network. You should be familiar with Web3 integration and modern React patterns.","Farcaster","https://farcaster.xyz","https://logo.clearbit.com/farcaster.xyz","Remote","US","REMOTE","FULL_TIME","MID_LEVEL","USD",140000,210000,"YEARLY","https://farcaster.xyz/jobs","careers@farcaster.xyz",true,"2026-08-25T16:15:00Z"
ext-057,LinkedIn,"Frontend Developer","Help us build the most advanced AI coding assistant. You will work on our web IDE and dashboard using React and TypeScript.","GitHub","https://github.com","https://logo.clearbit.com/github.com","San Francisco","US","REMOTE","FULL_TIME","SENIOR_LEVEL","USD",180000,290000,"YEARLY","https://github.com/about/careers","jobs@github.com",true,"2026-08-12T11:00:00Z"
ext-058,Indeed,"Frontend Developer","Create beautiful web interfaces for our luxury beauty and fashion platform. We are looking for someone with strong CSS skills and an eye for detail.","Nykaa","https://nykaa.com","https://logo.clearbit.com/nykaa.com","Mumbai","IN","HYBRID","FULL_TIME","MID_LEVEL","INR",1800000,3000000,"YEARLY","https://www.nykaa.com/careers","hr@nykaa.com",true,"2026-08-20T13:40:00Z"
ext-059,Naukri,"Frontend Developer","Build the web frontend for our mobile gaming and fantasy sports platform. You must be able to handle high-frequency data updates in the UI.","Dream11","https://dream11.com","https://logo.clearbit.com/dream11.com","Mumbai","IN","ON_SITE","FULL_TIME","MID_LEVEL","INR",2800000,4800000,"YEARLY","https://about.dream11.com/careers","talent@dream11.com",true,"2026-08-17T15:55:00Z"
ext-060,Wellfound,"Frontend Developer","Work on our open-source observability platform's frontend. You should be passionate about developer tools and building great UIs for data.","Grafana","https://grafana.com","https://logo.clearbit.com/grafana.com","Remote","US","REMOTE","FULL_TIME","MID_LEVEL","USD",145000,225000,"YEARLY","https://grafana.com/about/careers","jobs@grafana.com",true,"2026-08-22T10:20:00Z"
ext-061,LinkedIn,"Frontend Developer","Develop and maintain the web experience for our cloud storage and collaboration suite. Strong JavaScript and React skills are essential.","Dropbox","https://dropbox.com","https://logo.clearbit.com/dropbox.com","San Francisco","US","REMOTE","FULL_TIME","SENIOR_LEVEL","USD",170000,265000,"YEARLY","https://www.dropbox.com/jobs","hiring@dropbox.com",true,"2026-08-14T08:45:00Z"
ext-062,Indeed,"Frontend Developer","Build the web frontend for our modern bank. You will work on security-critical features and data-heavy financial dashboards using React.","Revolut","https://revolut.com","https://logo.clearbit.com/revolut.com","London","US","HYBRID","FULL_TIME","MID_LEVEL","USD",130000,200000,"YEARLY","https://www.revolut.com/careers","apply@revolut.com",true,"2026-08-21T12:10:00Z"
ext-063,Naukri,"Frontend Developer","Help us build the next generation of mobile-first banking in India. You will work on our progressive web app using React and TypeScript.","Jupiter","https://jupiter.money","https://logo.clearbit.com/jupiter.money","Bangalore","IN","ON_SITE","FULL_TIME","ENTRY_LEVEL","INR",1200000,2000000,"YEARLY","https://jupiter.money/careers","careers@jupiter.money",true,"2026-08-24T17:30:00Z"
ext-064,Wellfound,"Frontend Developer","Join a team of high-performing engineers to build the future of corporate spend management. Experience with complex forms and validation is a plus.","Ramp","https://ramp.com","https://logo.clearbit.com/ramp.com","New York","US","ON_SITE","FULL_TIME","SENIOR_LEVEL","USD",190000,320000,"YEARLY","https://ramp.com/careers","jobs@ramp.com",true,"2026-08-16T09:00:00Z"
ext-065,LinkedIn,"Frontend Developer","Build the web client for our popular short-form video platform. You must have experience with video players and high-performance scrolling lists.","TikTok","https://tiktok.com","https://logo.clearbit.com/tiktok.com","Los Angeles","US","HYBRID","FULL_TIME","MID_LEVEL","USD",160000,250000,"YEARLY","https://careers.tiktok.com","hiring@tiktok.com",true,"2026-08-18T16:45:00Z"
ext-066,Indeed,"Frontend Developer","Develop the web frontend for our AI-powered travel planning tool. We are looking for someone who loves building beautiful, animations-rich UIs.","Expedia","https://expedia.com","https://logo.clearbit.com/expedia.com","Seattle","US","HYBRID","FULL_TIME","MID_LEVEL","USD",155000,235000,"YEARLY","https://www.expediagroup.com/careers","jobs@expedia.com",true,"2026-08-25T11:20:00Z"
ext-067,Naukri,"Frontend Developer","Work on our digital advertising and analytics platform. You should be comfortable working with large datasets and complex visualizations.","InMobi","https://inmobi.com","https://logo.clearbit.com/inmobi.com","Bangalore","IN","ON_SITE","FULL_TIME","SENIOR_LEVEL","INR",3000000,5000000,"YEARLY","https://www.inmobi.com/careers","talent@inmobi.com",true,"2026-08-13T10:00:00Z"
ext-068,Wellfound,"Frontend Developer","Create the web interface for our decentralised identity platform. Interest in cryptography and privacy-preserving technologies is a major plus.","Worldcoin","https://worldcoin.org","https://logo.clearbit.com/worldcoin.org","Remote","US","REMOTE","FULL_TIME","MID_LEVEL","USD",155000,235000,"YEARLY","https://worldcoin.org/careers","join@worldcoin.org",true,"2026-08-20T14:50:00Z"
ext-069,LinkedIn,"Frontend Developer","Join our team building the next generation of marketing automation tools. Strong focus on component reusability and testing.","HubSpot","https://hubspot.com","https://logo.clearbit.com/hubspot.com","Boston","US","REMOTE","FULL_TIME","MID_LEVEL","USD",145000,215000,"YEARLY","https://www.hubspot.com/careers","jobs@hubspot.com",true,"2026-08-22T17:10:00Z"
ext-070,Indeed,"Frontend Developer","Build tools to help developers test their apps across thousands of devices. Experience with building complex, multi-functional dashboards is required.","BrowserStack","https://browserstack.com","https://logo.clearbit.com/browserstack.com","Mumbai","IN","HYBRID","FULL_TIME","MID_LEVEL","INR",2000000,3500000,"YEARLY","https://www.browserstack.com/careers","careers@browserstack.com",true,"2026-08-15T09:30:00Z"
ext-071,LinkedIn,Backend Developer,"Build and scale high-performance distributed systems using Go and Kubernetes. You will be responsible for designing microservices that handle millions of requests per day.",Google,google.com,https://logo.clearbit.com/google.com,Mountain View,US,ON_SITE,FULL_TIME,SENIOR_LEVEL,USD,180000,280000,YEARLY,https://careers.google.com,jobs@google.com,true,2026-08-24T10:00:00Z
ext-072,Indeed,Backend Developer,"Develop and maintain robust APIs using Node.js and TypeScript for our core payment platform. Collaborate with cross-functional teams to deliver scalable backend solutions.",Stripe,stripe.com,https://logo.clearbit.com/stripe.com,San Francisco,US,HYBRID,FULL_TIME,MID_LEVEL,USD,150000,220000,YEARLY,https://stripe.com/jobs,recruiting@stripe.com,true,2026-08-25T14:30:00Z
ext-073,Wellfound,Backend Engineer,"Join our early-stage team to build scalable data pipelines using Python and AWS. We are looking for someone passionate about distributed databases and system performance.",Anthropic,anthropic.com,https://logo.clearbit.com/anthropic.com,Remote,US,REMOTE,FULL_TIME,SENIOR_LEVEL,USD,200000,350000,YEARLY,https://anthropic.com/careers,talent@anthropic.com,true,2026-08-22T09:15:00Z
ext-074,Naukri,Backend Developer,"Design and implement low-latency backend services using Java and Spring Boot for our fintech ecosystem. Experience with Kafka and Redis is highly desirable.",Razorpay,razorpay.com,https://logo.clearbit.com/razorpay.com,Bangalore,IN,ON_SITE,FULL_TIME,MID_LEVEL,INR,2500000,4500000,YEARLY,https://razorpay.com/jobs,hiring@razorpay.com,true,2026-08-20T11:45:00Z
ext-075,LinkedIn,Backend Engineer,"Work on large-scale distributed systems using Java to power our global e-commerce platform. You will focus on improving system reliability and API efficiency.",Amazon,amazon.jobs,https://logo.clearbit.com/amazon.com,Seattle,US,HYBRID,FULL_TIME,SENIOR_LEVEL,USD,160000,250000,YEARLY,https://amazon.jobs,tech-hiring@amazon.com,true,2026-08-18T16:20:00Z
